4671
96	46	4	6	0	0
97	26	6	2	0	0
98	36	6	3	0	0
99	35	5	3	0	0
100	46	4	6	0	0
101	46	6	4	0	0
102	4	4	0	0	0
103	45	4	5	0	0
104	46	6	4	0	0
105	2	2	0	0	0
106	26	6	2	0	0
107	24	4	2	0	0
108	36	3	6	0	0
109	46	6	4	0	0
110	46	4	6	0	0
111	45	4	5	0	0
112	46	6	4	0	0
114	35	5	3	0	0
115	4	4	0	0	0
116	46	6	4	0	0
117	6	6	0	0	0
118	36	6	3	0	0
119	35	5	3	0	0
120	45	4	5	0	0
121	46	6	4	0	0
122	4	4	0	0	0
123	5	5	0	0	0
124	4	4	0	0	0
125	36	3	6	0	0
126	6	6	0	0	0
127	46	6	4	0	0
128	45	4	5	0	0
129	35	3	5	0	0
130	4	4	0	0	0
131	36	3	6	0	0
132	6	6	0	0	0
133	35	3	5	0	0
134	46	4	6	0	0
135	45	4	5	0	0
136	4	4	0	0	0
137	6	6	0	0	0
138	36	3	6	0	0
139	45	4	5	0	0
140	46	4	6	0	0
141	35	3	5	0	0
142	4	4	0	0	0
143	36	3	6	0	0
144	6	6	0	0	0
145	35	5	3	0	0
146	46	6	4	0	0
147	45	5	4	0	0
148	36	3	6	0	0
149	45	5	4	0	0
150	46	6	4	0	0
151	35	5	3	0	0
152	36	6	3	0	0
153	35	5	3	0	0
154	46	6	4	0	0
155	45	4	5	0	0
156	36	3	6	0	0
157	45	4	5	0	0
158	46	6	4	0	0
159	35	5	3	0	0
160	36	3	6	0	0
161	35	5	3	0	0
162	46	4	6	0	0
163	45	5	4	0	0
164	3	3	0	0	0
165	6	6	0	0	0
166	3	3	0	0	0
167	5	5	0	0	0
168	36	3	6	0	0
169	45	4	5	0	0
170	46	6	4	0	0
171	35	5	3	0	0
172	3	3	0	0	0
173	4	4	0	0	0
174	36	3	6	0	0
175	6	6	0	0	0
176	5	5	0	0	0
177	35	5	3	0	0
178	46	6	4	0	0
179	45	4	5	0	0
180	5	5	0	0	0
181	4	4	0	0	0
182	3	3	0	0	0
183	5	5	0	0	0
184	6	6	0	0	0
185	4	4	0	0	0
186	36	3	6	0	0
187	6	6	0	0	0
188	45	4	5	0	0
189	46	6	4	0	0
190	35	5	3	0	0
191	3	3	0	0	0
192	4	4	0	0	0
193	5	5	0	0	0
194	3	3	0	0	0
195	36	3	6	0	0
196	4	4	0	0	0
197	6	6	0	0	0
198	5	5	0	0	0
199	35	3	5	0	0
200	46	6	4	0	0
201	45	4	5	0	0
202	4	4	0	0	0
203	3	3	0	0	0
204	5	5	0	0	0
205	5	5	0	0	0
206	36	6	3	0	0
207	45	4	5	0	0
208	35	3	5	0	0
209	36	6	3	0	0
210	35	3	5	0	0
211	46	4	6	0	0
212	45	5	4	0	0
213	36	6	3	0	0
214	45	4	5	0	0
215	46	4	6	0	0
216	35	3	5	0	0
217	36	6	3	0	0
218	35	3	5	0	0
219	46	4	6	0	0
220	45	5	4	0	0
221	3	3	0	0	0
222	5	5	0	0	0
223	36	3	6	0	0
224	45	5	4	0	0
225	46	4	6	0	0
226	35	3	5	0	0
227	36	6	3	0	0
228	35	3	5	0	0
229	46	4	6	0	0
230	45	4	5	0	0
231	6	6	0	0	0
232	3	3	0	0	0
233	36	6	3	0	0
234	45	4	5	0	0
235	46	4	6	0	0
236	35	3	5	0	0
237	36	6	3	0	0
238	35	3	5	0	0
239	46	4	6	0	0
240	45	4	5	0	0
241	36	6	3	0	0
242	45	4	5	0	0
243	46	4	6	0	0
244	35	3	5	0	0
245	36	6	3	0	0
246	35	3	5	0	0
247	46	4	6	0	0
248	45	5	4	0	0
249	36	6	3	0	0
250	45	5	4	0	0
251	46	4	6	0	0
252	35	3	5	0	0
253	36	3	6	0	0
254	35	3	5	0	0
255	46	4	6	0	0
256	45	5	4	0	0
257	36	6	3	0	0
258	45	5	4	0	0
259	46	6	4	0	0
260	35	3	5	0	0
261	4	4	0	0	0
262	36	6	3	0	0
263	6	6	0	0	0
264	35	3	5	0	0
265	46	6	4	0	0
266	45	5	4	0	0
267	4	4	0	0	0
268	6	6	0	0	0
269	36	6	3	0	0
270	45	5	4	0	0
271	46	4	6	0	0
272	35	3	5	0	0
273	4	4	0	0	0
274	36	6	3	0	0
275	6	6	0	0	0
